FruitID,Wet,Wet_date
GS1_179.04,16.5,2
GS1_117.06,16.03,2
GS1_117.02,16.49,2
GS1_117.03,15.71,2
GS1_117.04,14.78,2
GS1_176.03,15.22,2
GS1_117.05,16.7,2
GS1_107.05,14.45,2
GS1_176.06,15.99,2
GS1_176.02,15.62,2
GS1_107.04,16.08,2
GS1_107.01,16.38,2
GS1_117.01,14.73,2
GS1_107.03,16.09,2
GS1_176.05,15.76,2
GS1_176.01,14.44,2
GS1_176.04,15.89,2
GS1_107.02,15.85,2
GS1_113.02,14.62,2
GS1_113.01,16.51,2
GS1_113.03,16.43,2
GS1_113.04,16.98,2
GS1_113.05,15.31,2
GS1_113.06,16.3,2
GS1_49.06,13.18,2
GS1_49.05,13.48,2
GS1_192.02,13.28,2
GS1_49.04,12.29,2
GS1_49.03,13.24,2
GS1_49.02,13.03,2
GS1_10.01,13.09,2
GS1_49.01,13.02,2
GS1_183.06,15.55,2
GS1_10.02,15.5,2
GS1_10.03,15.52,2
GS1_10.04,15.58,2
GS1_183.05,15.47,2
GS1_183.02,15.17,2
GS1_183.04,15.66,2
GS1_183.03,15.26,2
GS1_10.05,15.37,2
GS1_192.01,15.36,2
GS1_10.06,15.56,2
GS1_183.01,15.42,2
GS1_185.03,15.75,2
GS1_197.03,15.74,2
GS1_197.01,14.92,2
GS1_197.05,14.96,2
GS1_185.04,15.41,2
GS1_197.04,15,2
GS1_185.06,14.92,2
GS1_185.02,15.6,2
GS1_197.02,15.51,2
GS1_197.06,15.43,2
GS1_185.05,15.29,2
GS1_185.01,15.49,2
GS1_185.01,15.48,2
GS1_192.05,14.81,2
GS1_192.03,15.57,2
GS1_192.06,15.17,2
GS1_192.04,14.85,2
GS1_175.05,15.42,3
GS1_12.06,13.96,3
GS1_175.01,15.24,3
GS1_12.01,13.85,3
GS1_12.02,14.6,3
GS1_175.02,16.69,3
GS1_175.06,15.05,3
GS1_175.03,15.63,3
GS1_175.04,14.93,3
GS1_12.03,16.7,3
GS1_12.04,14.18,3
GS1_12.05,16.05,3
GS1_138.03,32.88,3
GS1_138.06,25.15,3
GS1_138.05,21.71,3
GS1_170.06,26.27,3
GS1_138.02,19.91,3
GS1_138.01,23.85,3
GS1_138.04,30.83,3
GS1_170.04,26.33,3
GS1_170.03,29.28,3
GS1_170.02,24.15,3
GS1_170.05,21.8,3
GS1_170.01,33.48,3
GS1_70.04,14.36,3
GS1_70.03,16.32,3
GS1_147.02,15.99,3
GS1_70.01,16.98,3
GS1_70.02,14.28,3
GS1_147.06,15.84,3
GS1_70.05,14.9,3
GS1_70.06,15.09,3
GS1_47.01,15.28,3
GS1_147.01,16.56,3
GS1_147.03,14.99,3
GS1_147.05,15.89,3
GS1_147.04,15.91,3
GS1_47.05,16.79,3
GS1_47.02,15.04,3
GS1_47.04,16.38,3
GS1_47.03,15.86,3
GS1_47.06,14.18,3
GS1_152.05,14.94,3
GS1_152.03,15.79,3
GS1_152.02,16.95,3
GS1_146.04,16.52,3
GS1_152.04,16.23,3
GS1_146.05,15.79,3
GS1_152.06,14.21,3
GS1_152.01,15.51,3
GS1_146.03,14.78,3
GS1_146.06,15.52,3
GS1_146.02,15.47,3
GS1_146.01,15.96,3
GS1_115.03,14.7,3
GS1_115.02,14.74,3
GS1_115.01,15.28,3
GS1_35.04,15.17,4
GS1_35.01,15.07,4
GS1_35.03,15.45,4
GS1_35.02,14.72,4
GS1_108.02,14.55,4
GS1_108.01,14.75,4
GS1_59.02,15.27,4
GS1_35.06,15.65,4
GS1_108.03,15.3,4
GS1_108.04,16.33,4
GS1_75.04,14.15,4
GS1_35.05,15.89,4
GS1_108.05,14.72,4
GS1_75.06,15.29,4
GS1_108.06,14.9,4
GS1_75.05,16.43,4
GS1_59.03,14.15,4
GS1_59.04,16.02,4
GS1_75.02,14.14,4
GS1_75.03,14.99,4
GS1_59.05,15.33,4
GS1_59.01,14.25,4
GS1_59.06,15.44,4
GS1_75.01,15.61,4
GS1_145.05,16.69,4
GS1_106.02,14.96,4
GS1_145.06,16.21,4
GS1_172.03,15.1,4
GS1_145.04,14.54,4
GS1_211.03,14.05,4
GS1_106.01,14.22,4
GS1_211.01,7.12,4
GS1_211.02,15.89,4
GS1_189.04,15.7,4
GS1_172.04,15.65,4
GS1_172.01,13.5,4
GS1_189.02,16.34,4
GS1_189.01,15.01,4
GS1_189.03,15.92,4
GS1_211.06,14.06,4
GS1_172.06,16.63,4
GS1_172.02,15.7,4
GS1_211.04,14.95,4
GS1_172.05,15.49,4
GS1_106.04,16.27,4
GS1_106.03,15.64,4
GS1_189.06,15.98,4
GS1_211.05,15.4,4
GS1_189.05,14.64,4
GS1_103.06,15.79,4
GS1_103.03,14.21,4
GS1_103.02,14.41,4
GS1_103.05,14.17,4
GS1_103.01,15.66,4
GS1_103.04,14.9,4
GS1_145.02,14.84,4
GS1_145.01,15.62,4
GS1_145.03,15.84,4
GS1_212.03,15.94,4
GS1_212.02,14.77,4
GS1_212.01,14.47,4
GS1_212.05,15.78,4
GS1_212.04,14.98,4
GS1_203.05,15.57,4
GS1_87.01,14.4,4
GS1_87.05,14.59,4
GS1_87.04,14.4,4
GS1_203.04,15.22,4
GS1_87.03,15.4,4
GS1_87.02,13.95,4
GS1_87.06,15.28,4
GS1_212.06,14.11,4
GS1_203.02,14.37,4
GS1_203.06,14.39,4
GS1_203.03,16.08,4
GS1_137.05,15.2,4
GS1_203.01,16.97,4
GS1_137.01,14.61,4
GS1_137.06,16.08,4
GS1_137.04,15.65,4
GS1_137.02,14.86,4
GS1_137.03,14.69,4
GS1_1.03,14.15,4
GS1_4.01,14.3,4
GS1_1.02,12.8,4
GS1_144.06,14.86,4
GS1_1.06,16.06,4
GS1_1.01,14.1,4
GS1_1.05,14.82,4
GS1_144.05,15.35,4
GS1_144.02,16.6,4
GS1_144.04,16.1,4
GS1_4.06,15.9,4
GS1_4.05,14.54,4
GS1_4.04,15.69,4
GS1_1.04,14.16,4
GS1_144.01,16.84,4
GS1_144.03,16.82,4
GS1_4.03,16.39,4
GS1_4.02,16.31,4
GS1_89.02,16.21,5
GS1_89.04,15.17,5
GS1_89.06,15.17,5
GS1_162.02,14.92,5
GS1_162.01,14.55,5
GS1_133.06,16.51,5
GS1_133.04,15.37,5
GS1_162.05,15.77,5
GS1_162.04,14.16,5
GS1_199.04,14.45,5
GS1_162.03,16.11,5
GS1_133.05,15.18,5
GS1_199.01,14.84,5
GS1_199.03,14.86,5
GS1_199.02,15.98,5
GS1_199.05,15.92,5
GS1_199.06,15.3,5
GS1_89.05,14.85,5
GS1_89.03,15.12,5
GS1_89.01,15,5
GS1_111.05,15.19,5
GS1_111.04,15.63,5
GS1_111.03,15.45,5
GS1_111.02,16.12,5
GS1_111.01,14.25,5
GS1_111.06,14.68,5
GS1_167.02,15.36,5
GS1_167.04,14.73,5
GS1_167.05,16.27,5
GS1_167.06,15.3,5
GS1_167.03,14.4,5
GS1_32.02,14.55,5
GS1_32.01,16.25,5
GS1_32.05,14.75,5
GS1_167.01,15.13,5
GS1_32.04,15.81,5
GS1_32.03,14.74,5
GS1_32.06,16.27,5
GS1_133.02,15.07,5
GS1_133.01,14.49,5
GS1_133.03,15.2,5
GS1_99.03,15.71,5
GS1_99.01,15.71,5
GS1_99.05,15.73,5
GS1_6.06,16.02,5
GS1_99.06,15.12,5
GS1_99.02,15.6,5
GS1_99.04,15.88,5
GS1_6.02,15.25,5
GS1_6.05,15.35,5
GS1_6.03,15.37,5
GS1_6.04,15.09,5
GS1_6.01,16.91,5
GS1_64.05,15.67,5
GS1_64.02,15.57,5
GS1_64.06,16.06,5
GS1_64.04,15.97,5
GS1_134.02,15.41,5
GS1_134.06,15.02,5
GS1_64.01,15.51,5
GS1_64.03,16.11,5
GS1_7.04,16.16,5
GS1_7.02,15.98,5
GS1_84.03,15.88,5
GS1_84.02,15.07,5
GS1_84.01,15.18,5
GS1_84.06,16.36,5
GS1_84.04,15.14,5
GS1_134.04,15.64,5
GS1_134.01,15.56,5
GS1_134.03,16.39,5
GS1_8.02,15.66,5
GS1_134.05,16.19,5
GS1_8.06,15.39,5
GS1_8.04,16.19,5
GS1_8.01,15.9,5
GS1_8.05,16.1,5
GS1_8.03,15.27,5
GS1_84.05,14.82,5
GS1_44.01,15.4,5
GS1_44.02,15.4,5
GS1_44.05,15.4,5
GS1_44.06,15.85,5
GS1_44.04,15.66,5
GS1_44.03,15.09,5
GS1_7.05,15.13,5
GS1_7.06,15.86,5
GS1_7.01,14.71,5
GS1_7.03,15.3,5
GS1_19.01,15.44,5
GS1_19.05,15.24,5
GS1_19.03,15.29,5
GS1_19.06,16.05,5
GS1_19.04,15.79,5
GS1_85.05,15.53,5
GS1_19.02,15.71,5
GS1_27.05,15.64,5
GS1_190.04,15.42,5
GS1_85.04,15.08,5
GS1_85.02,16.17,5
GS1_190.01,15.25,5
GS1_85.03,14.92,5
GS1_85.06,15.85,5
GS1_85.01,15.4,5
GS1_190.02,15.19,5
GS1_190.05,15.34,5
GS1_82.06,15.44,5
GS1_190.03,15.88,5
GS1_27.04,15.43,5
GS1_27.03,15.33,5
GS1_27.02,15.79,5
GS1_27.01,15.22,5
GS1_171.04,15.34,5
GS1_171.05,16.05,5
GS1_7.01,15.02,5
GS1_171.02,15.87,5
GS1_27.06,15.59,5
GS1_171.01,15.89,5
GS1_171.03,15.3,5
GS1_190.06,15.68,5
GS1_7.02,15.87,5
GS1_82.04,15.09,5
GS1_82.03,15.57,5
GS1_82.05,15.56,5
GS1_7.03,15.79,5
GS1_171.06,16.14,5
GS1_82.01,15.37,5
GS1_82.02,15.88,5
GS1_26.05,15.89,6
GS1_26.06,15.35,6
GS1_200.01,15.11,6
GS1_200.02,15.12,6
GS1_200.06,15.71,6
GS1_200.05_0.07,15.1,6
GS1_200.04,15.38,6
GS1_200.03,15.51,6
GS1_48.04,15.03,6
GS1_48.03,15.18,6
GS1_48.02,16.12,6
GS1_48.01,16.05,6
GS1_85.03,15.15,6
GS1_48.05,15.82,6
GS1_48.06,15.62,6
GS1_85.04,15.13,6
GS1_85.01,15.96,6
GS1_85.05,15.39,6
GS1_85.02,15.58,6
GS1_85.06,15.64,6
GS1_26.04,15.84,6
GS1_26.03,15.33,6
GS1_26.02,15.12,6
GS1_26.01,16.37,6
GS1_149.01,15.86,6
GS1_149.03,15.31,6
GS1_149.02,16.17,6
GS1_94.05,15.35,6
GS1_94.06,16.11,6
GS1_94.04,15.53,6
GS1_94.02,15.54,6
GS1_149.06,15.32,6
GS1_94.01,15.54,6
GS1_94.03,15.23,6
GS1_165.05,15.97,6
GS1_165.06,15.63,6
GS1_165.04,15.14,6
GS1_165.01,16,6
GS1_122.06,15.32,6
GS1_122.01,15.01,6
GS1_165.03,15.26,6
GS1_165.02,15.95,6
GS1_122.05,16.05,6
GS1_122.03,15.93,6
GS1_122.04,16.12,6
GS1_122.02,15.39,6
GS1_81.05,16.18,6
GS1_149.04,16.02,6
GS1_81.06,15.75,6
GS1_149.05,16.12,6
GS1_21.04,15.77,6
GS1_21.06,15.8,6
GS1_21.01,15.27,6
GS1_21.05,15.39,6
GS1_21.02,15.36,6
GS1_81.03,15.15,6
GS1_21.03,15.49,6
GS1_58.05,13.83,6
GS1_5.03,15.64,6
GS1_81.01,15.45,6
GS1_81.02,15.24,6
GS1_58.06,15.6,6
GS1_81.04,15.41,6
GS1_201.06,15.23,6
GS1_86.02,14.27,6
GS1_86.03,15.12,6
GS1_201.02,15.28,6
GS1_92.05,15.61,6
GS1_92.06,16.09,6
GS1_201.03,15.23,6
GS1_86.01,10.46,6
GS1_201.01,15.25,6
GS1_92.01,15.19,6
GS1_92.04,16.01,6
GS1_92.02,15.5,6
GS1_201.05,15.63,6
GS1_92.03,15.34,6
GS1_86.04,14.97,6
GS1_58.01,15.66,6
GS1_58.04,15.32,6
GS1_5.05,15.2,6
GS1_5.01,15.14,6
GS1_58.02,15.43,6
GS1_201.04,15.61,6
GS1_5.02,15.12,6
GS1_5.06,15.54,6
GS1_58.03,14.98,6
GS1_5.04,15.72,6
GS1_156.05,11.79,7
GS1_156.04,14.65,7
GS1_156.02,15.29,7
GS1_156.06,15.04,7
GS1_118.01,14.87,7
GS1_52.01,16.2,7
GS1_52.03,16.49,7
GS1_52.02,16.86,7
GS1_52.06,15.03,7
GS1_52.04,14.05,7
GS1_118.02,15.77,7
GS1_36.03,14.94,7
GS1_36.02,15.35,7
GS1_52.05,14.98,7
GS1_36.01,16.5,7
GS1_36.06,14.16,7
GS1_118.05,15.67,7
GS1_118.03,14.93,7
GS1_36.04,14.62,7
GS1_36.05,14.69,7
GS1_119.04,15.75,7
GS1_119.02,14.98,7
GS1_118.04,14.52,7
GS1_156.01,14.6,7
GS1_118.06,15.93,7
GS1_119.06,14.03,7
GS1_119.01,15.08,7
GS1_119.05,14.13,7
GS1_119.03,15.31,7
GS1_156.03,14.05,7
GS1_39.04,15.67,7
GS1_164.01,14.77,7
GS1_39.06,15.42,7
GS1_164.04,16.18,7
GS1_76.02,13.7,7
GS1_164.06,16.22,7
GS1_164.02,15.44,7
GS1_55.03,14.1,7
GS1_53.03,14.86,7
GS1_55.06,15.58,7
GS1_55.01,8.62,7
GS1_76.05,15.05,7
GS1_53.06,15.3,7
GS1_76.04,14.89,7
GS1_76.01,14.28,7
GS1_39.01,16.04,7
GS1_39.05,13.94,7
GS1_55.05,15.96,7
GS1_53.01,15.98,7
GS1_76.06,15.8,7
GS1_164.03,15.24,7
GS1_39.03,15.17,7
GS1_66.05,15.35,7
GS1_39.02,15.76,7
GS1_55.04,15.01,7
GS1_53.05,15.56,7
GS1_55.02,15.39,7
GS1_53.02,15.76,7
GS1_53.04,14.56,7
GS1_66.06,15.66,7
GS1_31.01,14.71,7
GS1_20.06,14.93,7
GS1_20.01,14.95,7
GS1_63.05,14.46,7
GS1_20.04,15.36,7
GS1_31.03,15.2,7
GS1_198.01,15.37,7
GS1_63.01,14.23,7
GS1_20.03,14.26,7
GS1_20.05,15.74,7
GS1_63.04,15.35,7
GS1_31.04,15.25,7
GS1_198.04,15.49,7
GS1_31.06,15.55,7
GS1_63.02,14.35,7
GS1_198.05,14.62,7
GS1_20.02,15.31,7
GS1_198.02,15.13,7
GS1_164.05,15.76,7
GS1_63.03,15.96,7
GS1_159.02,15.9,7
GS1_159.05,14.13,7
GS1_31.02,15.28,7
GS1_63.06,14.89,7
GS1_66.02,15.16,7
GS1_31.05,15.85,7
GS1_198.03,14.57,7
GS1_163.01,14.1,7
GS1_38.03,15.33,7
GS1_45.03,15.65,7
GS1_159.03,15.89,7
GS1_159.04,15.82,7
GS1_38.04,14.3,7
GS1_159.01,15.94,7
GS1_159.06,15.43,7
GS1_45.04,15.57,7
GS1_38.01,14.77,7
GS1_76.03,15.65,7
GS1_163.06,15.17,7
GS1_157.03,15.34,7
GS1_163.03,15.37,7
GS1_45.02,14.36,7
GS1_45.01,15.43,7
GS1_157.01,14.98,7
GS1_157.06,15.21,7
GS1_157.02,15.2,7
GS1_163.05,14.86,7
GS1_38.06,14.91,7
GS1_66.01,15.14,7
GS1_163.02,15.52,7
GS1_45.05,16.34,7
GS1_163.04,14.43,7
GS1_38.02,15.67,7
GS1_157.05,14.57,7
GS1_66.04,15.47,7
GS1_45.06,15.62,7
GS1_66.03,16.66,7
GS1_38.05,15.3,7
GS1_157.04,15.35,7
GS1_116.03,14.14,8
GS1_11.03,14.84,8
GS1_116.05,15.42,8
GS1_11.05,15.02,8
GS1_116.01,15.61,8
GS1_116.04,14.36,8
GS1_11.02,16.02,8
GS1_11.01,14.74,8
GS1_11.04,14.62,8
GS1_11.06,14.36,8
GS1_116.06,14.79,8
GS1_116.02,15.4,8
GS1_158.04,16.11,8
GS1_56.01,15.74,8
GS1_158.05,15.94,8
GS1_158.03,14.46,8
GS1_56.04,15.97,8
GS1_56.03,14.8,8
GS1_34.01,15.62,8
GS1_158.01,16.510000000000002,8
GS1_34.02,15.34,8
GS1_34.05,14.47,8
GS1_34.04,14.4,8
GS1_34.06,16.399999999999999,8
GS1_91.04,14.75,8
GS1_56.06,16.63,8
GS1_91.03,15.68,8
GS1_91.06,16.739999999999998,8
GS1_91.05,16.97,8
GS1_34.03,16.2,8
GS1_158.02,16.98,8
GS1_56.02,15.88,8
GS1_56.05,16.59,8
GS1_158.06,15.82,8
GS1_91.02,16.760000000000002,8
GS1_91.01,16.98,8
GS1_41.03,16.760000000000002,8
GS1_41.02,16.649999999999999,8
GS1_41.01,16.260000000000002,8
GS1_41.05,16.71,8
GS1_40.06,16.420000000000002,8
GS1_41.06,NO DATA,8
GS1_41.04,NO DATA,8
GS1_40.04,NO DATA,8
GS1_132.03,13.78,8
GS1_40.05,16.920000000000002,8
GS1_2.06,15.98,8
GS1_40.01,15.73,8
GS1_132.01,16.34,8
GS1_2.04,15.18,8
GS1_2.01,15.62,8
GS1_2.03,16.059999999999999,8
GS1_2.02,16.37,8
GS1_2.05,16.78,8
GS1_132.02,15.05,8
GS1_40.02,16.73,8
GS1_132.06,15.65,8
GS1_8.02,14.5,8
GS1_8.01,16.239999999999998,8
GS1_40.03,16.25,8
GS1_132.05,16.77,8
GS1_132.04,14.64,8
GS1_141.02,14.07,8
GS1_18.05,16.62,8
GS1_18.01,14.91,8
GS1_141.03,15.16,8
GS1_54.06,14.85,8
GS1_54.02,14.79,8
GS1_88.04,16.09,8
GS1_141.06,15.29,8
GS1_141.04,15.33,8
GS1_88.03,15.7,8
GS1_88.06,16.71,8
GS1_88.03,15.68,8
GS1_88.01,15.54,8
GS1_54.04,16.350000000000001,8
GS1_54.01,16.52,8
GS1_54.03,16.11,8
GS1_141.05,14.59,8
GS1_88.02,15,8
GS1_141.01,15.21,8
GS1_88.05,15.95,8
GS1_22.01,16.329999999999998,8
GS1_16.04,15.56,8
GS1_16.01,15.24,8
GS1_22.05,15.67,8
GS1_22.04,16.489999999999998,8
GS1_18.06,16.96,8
GS1_16.06,15.98,8
GS1_54.05,13.62,8
GS1_124.05,16.36,8
GS1_16.02,16.82,8
GS1_124.04,15.43,8
GS1_124.01,16.22,8
GS1_22.06,15.86,8
GS1_16.05,15.76,8
GS1_124.02,16.45,8
GS1_16.03,15.11,8
GS1_124.03,16.05,8
GS1_18.02,16.62,8
GS1_18.03,15.82,8
GS1_18.04,15.53,8
GS1_22.03,14.84,8
GS1_170.03,14.32,8
GS1_17.01,15.06,8
GS1_170.05,13.62,8
GS1_22.02,15.9,8
GS1_170.06,15.38,8
GS1_17.04,14.5,8
GS1_170.04,16.149999999999999,8
GS1_17.02,16.3,8
GS1_17.03,16.23,8
GS1_17.05,15.41,8
GS1_17.06,15.13,8
GS1_170.02,15.51,8
GS1_170.01,14.38,8
GS1_110.01,16.04,9
GS1_110.02,15.29,9
GS1_110.03,15.21,9
GS1_110.05,14.9,9
GS1_110.06,15.66,9
GS1_60.03,15.86,9
GS1_110.04,15.25,9
GS1_161.05,14.23,9
GS1_161.01,15.21,9
GS1_161.02,12.64,9
GS1_161.06,15.34,9
GS1_127.06,14.96,9
GS1_161.03,14.75,9
GS1_161.04,15.73,9
GS1_60.02,15.19,9
GS1_127.04,14.6,9
GS1_127.05,15.24,9
GS1_60.01,15.03,9
GS1_42.01,16.02,9
GS1_42.03,15.01,9
GS1_42.04,15.05,9
GS1_60.06,16.07,9
GS1_60.05,15.23,9
GS1_42.05,15.55,9
GS1_127.01,15.27,9
GS1_127.02,14.71,9
GS1_127.03,15.78,9
GS1_42.02,15.98,9
GS1_60.04,15.74,9
GS1_42.06,15.26,9
GS1_129.04,13.22,9
GS1_129.01,15.13,9
GS1_129.05,14.66,9
GS1_129.02,14.41,9
GS1_129.03,14.53,9
GS1_50.05,15.69,9
GS1_50.06,15.04,9
GS1_50.04,15.48,9
GS1_50.01,15.55,9
GS1_50.02,15.06,9
GS1_79.03,14.73,9
GS1_50.03,15.42,9
GS1_79.02,15.04,9
GS1_79.06,14.95,9
GS1_79.01,15.33,9
GS1_79.05,15.04,9
GS1_79.04,14.71,9
GS1_46.04,14.99,9
GS1_25.06,15.62,9
GS1_46.03,15.5,9
GS1_46.02,16.4,9
GS1_46.01,14.71,9
GS1_46.06,15.64,9
GS1_104.03,15.79,9
GS1_104.05,14.47,9
GS1_129.06,15.7,9
GS1_104.01,14.82,9
GS1_104.04,15.69,9
GS1_104.02,15.19,9
GS1_104.06,15.46,9
GS1_46.05,15.07,9
GS1_42.04,15.31,9
GS1_42.06,15.02,9
GS1_42.05,15.7,9
GS1_25.05,14.59,9
GS1_25.04,16.8,9
GS1_25.03,15.28,9
GS1_42.02,16.5,9
GS1_42.01,13.01,9
GS1_42.031,14.27,9
GS1_25.02,15.85,9
GS1_25.01,14.6,9
GS1_69.04,16.39,9
GS1_69.05,15.36,9
GS1_69.02,14.46,9
GS1_69.06,15.87,9
GS1_69.01,15.49,9
GS1_69.03,14.27,9
GS1_72.05,15.13,9
GS1_72.06,15.27,9
GS1_72.03,15.1,9
GS1_205.04,14.14,9
GS1_205.05,14.89,9
GS1_205.01,15.74,9
GS1_205.06,13.56,9
GS1_57.02,15.89,9
GS1_205.03,14.25,9
GS1_101.05,14.13,9
GS1_101.03,16.51,9
GS1_205.02,16.25,9
GS1_101.06,14.5,9
GS1_57.05,13.45,9
GS1_57.03,16.31,9
GS1_101.02,13.78,9
GS1_57.01,14.38,9
GS1_57.04,14.96,9
GS1_101.04,15.33,9
GS1_72.01,13.59,9
GS1_101.01,15.74,9
GS1_72.04,15.21,9
GS1_72.02,14.17,9
GS1_61.03,14.47,9
GS1_61.04,14.33,9
GS1_61.06,14.91,9
GS1_61.02,14.83,9
GS1_65.03,14.25,9
GS1_65.01,15.09,9
GS1_182.01,15.22,9
GS1_65.02,14.17,9
GS1_182.02,14.94,9
GS1_182.06,14.22,9
GS1_182.03,15.03,9
GS1_182.05,15.19,9
GS1_73.04,15.74,9
GS1_61.05,15.58,9
GS1_182.04,15.11,9
GS1_33.01,15.39,9
GS1_73.01,14.25,9
GS1_73.03,14.25,9
GS1_33.02,15.57,9
GS1_73.05,14.03,9
GS1_33.04,14.36,9
GS1_33.03,14.25,9
GS1_73.06,15.5,9
GS1_73.02,13.74,9
GS1_169(1/2).06,14.02,9
GS1_169(1/2).04,16.06,9
GS1_169(1/2).01,15.45,9
GS1_169(1/2).02,15.61,9
GS1_169(1/2).05,16,9
GS1_169(1/2).03,13.73,9
