Plant,gid,Brix,Dry_matter,a,Time_processed
GS1_70.03,GS1_70,10.1,12.0098039216,27.2115554211,4
GS1_70.04,GS1_70,9.9,14.2757660167,25.8611311894,4
GS1_70.05,GS1_70,11.8,15.1006711409,26.0163536114,4
GS1_70.06,GS1_70,10.3,12.591119947,27.7342679498,4
GS1_71.01,GS1_71,13,15.3846153846,29.0853347683,13
GS1_71.02,GS1_71,13.9,17.1299288946,28.9682854211,13
GS1_71.03,GS1_71,12.7,17.935483871,31.1339930667,13
GS1_71.04,GS1_71,13.9,17.3606662396,27.8890442759,13
GS1_71.05,GS1_71,14.3,17.2255095332,28.9087798548,13
GS1_71.06,GS1_71,13.6,15.6088082902,30.2968918356,13
GS1_72.01,GS1_72,15.1,20.5298013245,34.4796168097,10
GS1_72.02,GS1_72,13.8,17.0077628793,33.2520527011,10
GS1_72.03,GS1_72,5.6,6.2251655629,32.0365009537,10
GS1_72.04,GS1_72,14.9,18.0802103879,20.257029017,10
GS1_72.05,GS1_72,9.1,18.7045604759,33.9982792119,10
GS1_72.06,GS1_72,15.2,17.0268500327,34.2281145173,10
GS1_73.01,GS1_73,11.8,13.4035087719,24.0341757248,10
GS1_73.02,GS1_73,11.4,13.3187772926,21.2853229695,10
GS1_73.03,GS1_73,8.9,10.0350877193,27.2244982261,10
GS1_73.04,GS1_73,11.3,14.2312579416,27.0512492506,10
GS1_73.05,GS1_73,9.2,12.1168923735,26.6972819742,10
GS1_73.06,GS1_73,11.7,13.2903225806,21.4478096575,10
GS1_74.01,GS1_74,10.9,13.3682830931,29.2003208517,13
GS1_74.02,GS1_74,10,12.4195624196,30.8254232403,13
GS1_74.03,GS1_74,10.8,13.7450199203,27.3276023419,13
GS1_74.04,GS1_74,10.9,12.4256444151,30.2701189408,13
GS1_74.05,GS1_74,10.5,10.809102402,28.8345842014,13
GS1_75.01,GS1_75,11.2,13.7732222934,30.4973394538,5
GS1_75.02,GS1_75,12.9,20.2263083451,30.4880228362,5
GS1_75.03,GS1_75,11.8,15.8105403602,31.4240261321,5
GS1_75.04,GS1_75,11.5,16.5371024735,29.9577816147,5
GS1_75.05,GS1_75,12.1,14.2422398052,30.8819993257,5
GS1_75.06,GS1_75,11.3,14.6500981033,30.0062323189,5
GS1_76.01,GS1_76,10.6,12.7450980392,24.7765518687,8
GS1_76.02,GS1_76,11,17.2262773723,29.2939161884,8
GS1_76.03,GS1_76,13.5,14.8242811502,27.3495856398,8
GS1_76.04,GS1_76,12.6,17.9314976494,26.9089162907,8
GS1_76.05,GS1_76,10.9,14.3521594684,29.7070302081,8
GS1_76.06,GS1_76,12.1,14.2405063291,27.2518154518,8
GS1_77.01,GS1_77,11.2,14.6164021164,26.2766073242,1
GS1_77.02,GS1_77,12,15.371024735,27.2875748168,1
GS1_77.03,GS1_77,14.2,17.2715894869,28.0293155949,1
GS1_77.04,GS1_77,12,15.8163265306,31.0303914163,1
GS1_77.05,GS1_77,12.3,14.6403564609,27.6449766643,1
GS1_77.06,GS1_77,11.8,16.355983163,26.5787904863,1
GS1_78.01,GS1_78,11.4,14.2958244869,28.7958958206,1
GS1_78.02,GS1_78,10.6,13.3470225873,28.2623321841,1
GS1_78.03,GS1_78,12.1,19.2142857143,31.7568808216,1
GS1_78.04,GS1_78,12.2,15.6771180787,31.0356739169,1
GS1_78.05,GS1_78,11,13.3940182055,29.7165391627,1
GS1_78.06,GS1_78,11.3,13.5313531353,28.8559523878,1
GS1_79.01,GS1_79,12.8,16.0469667319,27.5303584088,10
GS1_79.02,GS1_79,10.4,11.9680851064,32.4486606432,10
GS1_79.03,GS1_79,14,15.2749490835,32.4054978529,10
GS1_79.04,GS1_79,13.6,18.150917743,29.0529037588,10
