FruitID,Weight,Length,Width,X,Y,Z,CWD_date,FruitID,Brix,Brix_date,FruitID,DM,DM_date
GS1_123.05,504.2,14.5,9,44.556,38.287,4.697,12,GS1_123.05,11.5,10,GS1_123.05,14.0779907468605,12
GS1_123.06,536.1,14,9.5,46.442,39.676,4.827,12,GS1_123.06,11.6,10,GS1_123.06,14.6825396825397,12
GS1_124.01,490.2,14.5,8.5,49.764,40.874,6.072,8,GS1_124.01,9.9,9,GS1_124.01,11.960542540074,8
GS1_124.02,395.6,13.5,8.5,49.509,40.16,7.214,8,GS1_124.02,12.5,9,GS1_124.02,14.0425531914894,8
GS1_124.03,627.7,15,10,51.564,42.491,7.069,8,GS1_124.03,10.7,10,GS1_124.03,11.9626168224299,8
GS1_124.04,353.6,12.5,8.5,48.301,39.353,6.693,8,GS1_124.04,10,9,GS1_124.04,11.7952041477641,8
GS1_124.05,409.5,13.5,8,50.464,41.432,6.237,8,GS1_124.05,10.1,9,GS1_124.05,11.0635696821516,8
GS1_125.01,920.3,17,10.5,56.144,48.64,6.914,1,GS1_125.01,10.5,1,GS1_125.01,12.6226291693918,1
GS1_125.02,792.9,16,10,53.661,46.564,5.845,1,GS1_125.02,11.1,1,GS1_125.02,13.6486486486486,1
GS1_125.03,793.3,17,10.5,53.195,46.418,6.774,1,GS1_125.03,11,1,GS1_125.03,14.3229166666667,1
GS1_125.04,770.9,16,10,61.736,57.536,9.144,1,GS1_125.04,10.7,1,GS1_125.04,16.5656565656566,1
GS1_125.05,584.4,14,9.5,59.988,55.006,9.774,1,GS1_125.05,10.8,1,GS1_125.05,19.1706322229776,1
GS1_125.06,772.1,16,10.5,50.438,43.655,5.463,1,GS1_125.06,11.3,1,GS1_125.06,13.8574283810793,1
GS1_126.01,473.7,15.5,8.5,49.675,43.623,6.494,1,GS1_126.01,9.6,1,GS1_126.01,11.3145846958797,1
GS1_126.02,734.4,15.5,9.5,54.06,47.951,6.861,1,GS1_126.02,10.8,1,GS1_126.02,14.8427672955975,1
GS1_126.03,666.4,15.5,9,52.619,45.039,6.186,1,GS1_126.03,12.7,1,GS1_126.03,18.0381830151415,1
GS1_126.04,542.9,15,8.5,52.262,45.872,5.724,1,GS1_126.04,9.8,1,GS1_126.04,12.5686813186813,1
GS1_126.05,850.3,15,10.5,57.993,51.356,6.708,1,GS1_126.05,12.8,1,GS1_126.05,21.6465578424414,1
GS1_126.06,535.2,15.5,8,51.628,45.176,6.716,1,GS1_126.06,11.2,1,GS1_126.06,14.1737032569361,1
GS1_127.01,530,14,9.5,59.181,54.063,9.147,9,GS1_127.01,13.5,7,GS1_127.01,17.5507531106745,9
GS1_127.02,642.1,17,9.5,50.211,43.101,5.411,9,GS1_127.02,11.8,7,GS1_127.02,12.9843643779742,9
GS1_127.03,768.2,15.5,11,60.718,56.263,9.74,9,GS1_127.03,12.2,7,GS1_127.03,15.8428390367554,9
GS1_127.04,510.6,15.5,9,51.226,43.528,5.787,9,GS1_127.04,12,10,GS1_127.04,14.041095890411,9
GS1_127.05,414.1,13.5,8.5,52.459,45.688,6.421,9,GS1_127.05,12.3,10,GS1_127.05,15.4199475065617,9
GS1_127.06,387.5,12.5,8,59.357,53.501,6.772,9,GS1_127.06,13,10,GS1_127.06,19.2513368983957,9
GS1_128.01,406.2,14,9,42.635,36.332,4.407,12,GS1_128.01,10.7,9,GS1_128.01,12.565445026178,12
GS1_128.02,368.8,15,8,43.671,35.832,4.45,12,GS1_128.02,10,9,GS1_128.02,12.5161290322581,12
GS1_128.03,335,14,8,48.465,40.16,5.174,12,GS1_128.03,12,10,GS1_128.03,17.470664928292,12
GS1_128.04,288.1,14.5,7.5,46.304,38.522,4.496,12,GS1_128.04,10.3,9,GS1_128.04,12.9834254143646,12
GS1_128.05,347,14.5,8.5,45.079,36.64,4.421,12,GS1_128.05,10.8,9,GS1_128.05,12.5520110957004,12
GS1_128.06,359,15.5,7.5,44.244,36.295,4.061,12,GS1_128.06,11,10,GS1_128.06,14.101646385111,12
GS1_129.01,402.1,13.5,8.5,54.271,47.007,5.8,9,GS1_129.01,12.2,7,GS1_129.01,14.6728354263054,9
GS1_129.02,470,13.5,8.5,51.59,43.372,5.54,9,GS1_129.02,12.8,10,GS1_129.02,14.5732130464955,9
GS1_129.03,567.8,16,9,49.17,40.937,4.716,9,GS1_129.03,11.7,7,GS1_129.03,13.2140399174123,9
GS1_129.04,278.9,12,7.5,48.145,40.169,5.082,9,GS1_129.04,12.2,10,GS1_129.04,14.0695915279879,9
GS1_129.05,425.4,11.5,9,47.69,40.039,4.762,9,GS1_129.05,12,10,GS1_129.05,12.8240109140518,9
GS1_129.06,460.2,13.5,9,45.496,38.585,4.937,9,GS1_129.06,11.1,7,GS1_129.06,13.1210191082803,9
GS1_13.01,825.4,17,10.5,50.95,41.235,7.651,12,GS1_13.01,14,9,GS1_13.01,16.3554410817772,12
GS1_13.02,630.5,15,10.5,50.823,41.169,7.705,12,GS1_13.02,12.6,9,GS1_13.02,15.6471345782357,12
GS1_13.03,605.9,16,10,50.713,40.606,7.253,12,GS1_13.03,15,9,GS1_13.03,17.9436804191225,12
GS1_13.04,859.2,17.5,10.5,52.611,42.844,8.338,12,GS1_13.04,13.6,9,GS1_13.04,16.2094763092269,12
GS1_130.01,823.4,17.5,10,47.438,39.539,4.455,12,GS1_130.01,12.8,9,GS1_130.01,15.5283505154639,12
GS1_130.02,641.9,15.5,9.5,46.253,39.343,4.678,12,GS1_130.02,11.9,9,GS1_130.02,13.8419986495611,12
GS1_130.03,233.7,12,6.5,40.96,33.634,3.566,12,GS1_130.03,13.5,10,GS1_130.03,19.5592286501377,12
GS1_130.04,773.4,16.5,10,47.156,39.434,4.814,12,GS1_130.04,12.5,10,GS1_130.04,15.9105431309904,12
GS1_130.05,210.5,11.5,6,47.57,38.593,3.567,12,GS1_130.05,13.9,10,GS1_130.05,20.2979515828678,12
GS1_130.06,432.6,13.5,8,47.108,38.681,4.456,12,GS1_130.06,10.8,10,GS1_130.06,15.8860759493671,12
