EntryID,Weight,Length,Width,X,Y,Z
18-3724_Rep3_2.2,469.7,14,9,44.82,38.947,5.711
18-3724_Rep3_2.3,629.2,17,9,48.705,42.446,7.605
18-3724_Rep3_2.4,527.5,14,9.5,40.57,35.056,5.596
18-3724_Rep3_2.5,408.4,14.5,7.5,45.091,39.523,6.697
18-3724_Rep3_2.6,697.3,16,10,49.493,44.146,8.914
18-3724_Rep3_5.1,183.6,11.5,6.5,38.882,31.83,3.209
18-3724_Rep3_5.2,302.2,12.5,7.5,40.103,33.237,3.848
18-3724_Rep3_5.3,288.6,11.5,8,40.164,32.308,3.573
18-3724_Rep3_5.4,253,11.5,7,37.941,30.977,3.269
18-3724_Rep3_3.1,875,16.5,10,44.788,38.681,5.776
18-3724_Rep3_3.2,386.2,14.5,7.5,44.4,39.381,5.798
18-3724_Rep3_3.3,789.3,16,10,46.173,40.425,6.529
18-3724_Rep3_3.4,771.1,18.5,9.5,44.762,39.342,6.029
18-3724_Rep3_3.5,767.3,19,8.5,45.645,40.848,6.902
18-3724_Rep3_1.1,1057,20,9.5,47.091,41.39,7.029
18-3724_Rep3_1.2,689.4,17,9.5,48.675,43.538,8.929
18-3724_Rep3_4.1,535.2,15.5,9,41.256,35.77,5.154
18-3724_Rep3_4.2,760.7,16,9.5,49.679,45.069,10.859
18-3724_Rep3_4.3,827.8,16,9.5,49.551,44.93,10.759
18-3724_Rep3_4.4,689.7,15.5,8.5,48.703,44.297,10.961
18-3724_Rep3_4.5,712.2,14.5,10,49.185,44.203,9.773
18-3724_Rep3_4.6,434.9,15,7.5,46.144,40.566,6.604
18-3724_Rep2_12.1,717.9,14,9.5,42.873,36.627,7.213
18-3724_Rep2_12.2,685.8,15.5,9.5,45.811,39.924,7.965
18-3724_Rep2_12.3,617.4,15.5,9,43.747,37.096,6.628
18-3724_Rep2_12.4,629.8,15.5,8.5,39.894,33.328,4.899
18-3724_Rep2_12.5,567.5,14,9,43.487,37.351,6.286
18-3724_Rep2_12.6,718.6,15,9.5,43.47,36.915,6.735
18-3724_Rep2_15.1,968,16.5,10.5,44.347,37.868,5.939
18-3724_Rep2_15.2,1066.8,18,10.5,41.719,35.489,5.258
18-3724_Rep2_15.3,856.7,16.5,10.5,40.955,34.259,4.792
18-3724_Rep2_15.4,579.3,15,8.5,41.389,34.705,4.581
18-3724_Rep2_15.5,596.1,16,9,39.168,32.505,4.297
18-3724_Rep2_15.6,571.4,14.5,9.5,39.984,33.302,3.935
18-3724_Rep2_13.1,530,13.5,9,47.918,41.636,11.487
18-3724_Rep2_13.2,686.7,14,9.5,45.246,38.216,6.982
18-3724_Rep2_13.3,593.7,13,9.5,48.012,41.7,10.3
18-3724_Rep2_13.4,649,14,9,50.981,45.159,13.38
18-3724_Rep2_13.5,600.6,13.5,9.5,44.592,37.98,7.187
18-3724_Rep2_13.6,655.7,14.5,9.5,47.324,40.873,10.142
18-3724_Rep2_14.1,593,13.5,9.5,42.437,35.905,5.871
18-3724_Rep2_14.2,717.2,14,10,46.048,38.965,6.443
18-3724_Rep2_14.3,478.6,11,9,43.55,36.946,5.55
18-3724_Rep2_14.4,502,11.5,9,42.892,36.032,6.114
18-3724_Rep2_14.5,531.4,13.5,9,43.423,36.412,5.673
18-3724_Rep2_14.6,384.6,12,8.5,42.809,35.432,4.947
18-3728_Rep3_2.1,889.1,17,9.5,46.285,39.464,4.709
18-3728_Rep3_2.2,807.5,17.5,9.5,44.84,38.105,5.365
18-3728_Rep3_2.3,640.5,16,9,43.129,36.686,4.895
18-3728_Rep3_2.4,798,17.5,9.5,44.622,37.855,4.704
18-3728_Rep3_9.1,651,16,9,42.35,36.041,6.005
18-3728_Rep3_9.2,724.3,19.5,8.5,46.664,42.261,8.469
18-3728_Rep3_9.3,764.6,16.5,9.5,42.11,35.42,4.75
18-3728_Rep3_9.4,618,17,8.5,44.287,38.314,6.615
18-3728_Rep3_9.5,707.1,16,9,46.506,40.35,7.257
18-3728_Rep3_9.6,540.7,16,9,45.214,40.9,7.776
18-3728_Rep3_1.1,502.3,15,9,42.77,37.448,5.906
18-3728_Rep3_1.2,850,16.5,10,43.774,37.489,5.064
18-3728_Rep3_1.3,978.5,15.5,10.5,48.899,43.159,9.088
18-3728_Rep3_1.4,662.5,17.5,8.5,44.607,39.811,8.579
18-3728_Rep3_1.5,594.8,16,9,41.735,36.228,4.608
18-3728_Rep3_1.6,740,16,9,41.47,34.968,4.691
18-3723_Rep1_10.1,777.7,15,10,47.879,41.678,6.721
18-3723_Rep1_10.2,814.9,14.5,10.5,47.355,41.02,6.929
18-3723_Rep1_10.3,744.4,16.5,8.5,41.486,35.283,4.708
18-3723_Rep1_10.4,834.7,16,10,43.723,37.218,5.39
18-3723_Rep1_10.5,399.6,13,8,45.83,39.331,5.831
18-3723_Rep1_10.6,606.7,14,9.5,47.116,40.529,5.878
18-3723_Rep1_11.1,590.4,14.5,9.5,43.838,38.712,6.114
18-3723_Rep1_11.2,1081.9,17.5,10.5,43.656,38.142,6.541
18-3723_Rep1_11.3,557.9,15.5,8.5,44.258,38.654,7.553
18-3723_Rep1_11.4,568.3,14,9.5,45.341,40.196,7.514
18-3723_Rep1_11.5,757.6,14.5,10,45.669,40.644,8.362
18-3723_Rep1_11.6,822.6,16,10.5,43.361,38.072,7.033
18-3723_Rep1_8.1,535,14.5,9,41.59,34.708,5.087
18-3723_Rep1_8.2,461.3,14.5,8,39.947,33.211,4.972
18-3723_Rep1_8.3,625.7,16,9,35.876,28.965,3.336
18-3723_Rep1_8.4,722.6,17.5,8.5,34.877,28.163,3.422
18-3723_Rep1_12.1,835.7,17.5,9,43.489,37.238,4.868
18-3723_Rep1_12.2,654.2,15.5,9.5,44.731,38.413,5.14
18-3723_Rep1_12.3,794.8,15.5,10,43.211,36.773,4.522
18-3723_Rep1_12.4,672.4,16,9.5,45.526,39.155,4.994
18-3723_Rep1_12.5,800,16.5,9.5,46.507,40.503,7.579
