FruitID,Brix
GS3.1_76.01,11.7
GS3.1_144.01,10.3
GS3.1_75.02,10.4
GS3.1_50.03,11.6
GS3.1_74.04,11.1
GS3.1_33.03,11.2
GS3.1_74.01,11.9
GS3.1_103.01,9.2
GS3.1_92.03,8.6
GS3.1_159.01,7.8
GS3.1_50.05,11.2
GS3.1_144.05,12.2
GS3.1_33.05,10.6
GS3.1_61.01,12.5
GS3.1_61.02,12.5
GS3.1_152.01,11.1
GS3.1_162.01,10.8
GS3.1_85.01,11.7
GS3.1_153.02,14
GS3.1_152.02,11.3
GS3.1_76.05,10.7
GS3.1_75.04,11.7
GS3.1_76.03,11.4
GS3.1_50.06,12.7
GS3.1_159.04,9.7
GS3.1_50.02,12.5
GS3.1_22.02,11.2
GS3.1_152.04,10
GS3.1_75.03,10.1
GS3.1_75.06,11.4
GS3.1_74.03,12
GS3.1_76.06,11.1
GS3.1_75.05,11.1
GS3.1_74.06,10.8
GS3.1_144.02,11.2
GS3.1_35.06,10.6
GS3.1_159.03,9.5
GS3.1_61.03,13.6
GS3.1_44.01,10.1
GS3.1_35.02,10.5
GS3.1_162.06,10.2
GS3.1_35.04,8.9
GS3.1_144.03,11.7
GS3.1_162.02,11.3
GS3.1_35.05,13.3
GS3.1_35.01,10
GS3.1_162.04,11.2
GS3.1_162.03,10.3
GS3.1_22.01,10.8
GS3.1_22.04,10.7
GS3.1_91.01,9.5
GS3.1_35.03,10.3
GS3.1_11.05,11.9
GS3.1_97.02,13
GS3.1_137.04,11.4
GS3.1_123.01,13.2
GS3.1_97.06,13.2
GS3.1_121.04,12.8
GS3.1_179.01,11.7
GS3.1_97.04,12.7
GS3.1_137.03,10.4
GS3.1_140.05,10.1
GS3.1_97.03,12.6
GS3.1_189.05,12.6
GS3.1_179.05,12.5
GS3.1_189.03,12.3
GS3.1_126.02,10.4
GS3.1_40.01,9
GS3.1_53.01,9.5
GS3.1_140.04,12.6
GS3.1_126.03,11.2
GS3.1_126.04,11
GS3.1_179.04,12.1
GS3.1_126.05,11.3
GS3.1_121.03,13.6
GS3.1_137.01,11.6
GS3.1_140.02,11.6
GS3.1_189.02,12.4
GS3.1_97.01,11.6
GS3.1_126.01,10.6
GS3.1_123.03,12.7
GS3.1_97.05,10.8
GS3.1_137.02,10.1
GS3.1_123.02,11.9
GS3.1_179.03,13.7
GS3.1_179.06,12.1
GS3.1_179.02,11.9
GS3.1_140.01,13.5
GS3.1_121.02,14.4
GS3.1_40.02,9
GS3.1_189.04,10.4
GS3.1_126.06,11
GS3.1_40.03,9.8
GS3.1_140.03,12.8
GS3.1_121.01,14.6
GS3.1_189.01,12.4
GS3.1_140.06,10.6
GS3.1_25.01,7.7
GS3.1_191.06,12.6
GS3.1_79.04,7.4
GS3.1_67.01,11.5
GS3.1_11.03,12.2
GS3.1_25.03,10.1
GS3.1_59.05,11.9
GS3.1_96.03,12.2
GS3.1_96.05,11.6
GS3.1_108.03,12
GS3.1_108.06,11.8
GS3.1_141.03,12.3
GS3.1_59.02,11.6
GS3.1_115.03,11.4
GS3.1_185.06,10.9
GS3.1_11.01,13.2
GS3.1_176.05,12
GS3.1_176.02,10.3
GS3.1_79.02,8.7
GS3.1_10.01,11.9
GS3.1_115.02,12.8
GS3.1_115.01,11.6
GS3.1_25.02,8.8
GS3.1_115.04,12.1
GS3.1_141.01,13
GS3.1_59.06,12.9
GS3.1_171.06,12
GS3.1_191.04,12.8
GS3.1_8.02,13.6
GS3.1_11.02,12.5
GS3.1_108.04,11.3
GS3.1_171.05,12.9
GS3.1_10.02,10.9
GS3.1_108.02,12.4
GS3.1_96.06,11.3
GS3.1_8.06,12.3
GS3.1_171.03,12.4
GS3.1_10.03,10.7
GS3.1_191.01,12.2
GS3.1_59.03,12.3
GS3.1_59.01,10.8
GS3.1_128.01,13.6
GS3.1_141.06,11.4
GS3.1_67.06,13
GS3.1_96.04,12.7
GS3.1_141.05,13.2
GS3.1_171.04,12.2
GS3.1_10.06,10.6
GS3.1_10.05,9.6
GS3.1_171.01,12.9
GS3.1_10.04,8.2
GS3.1_191.02,12
GS3.1_59.04,11.9
GS3.1_176.04,12.5
GS3.1_79.03,8.2
GS3.1_171.02,11.9
GS3.1_79.01,7.7
GS3.1_185.04,10.2
GS3.1_8.01,12.9
GS3.1_141.04,12.6
GS3.1_191.05,11.5
GS3.1_108.01,12
GS3.1_141.02,12.6
GS3.1_96.01,13
GS3.1_25.05,8.9
GS3.1_176.06,12.1
GS3.1_67.02,12.7
GS3.1_191.03,12.5
GS3.1_11.06,12.2
GS3.1_185.01,11
GS3.1_96.02,12.4
GS3.1_108.05,11.7
GS3.1_11.04,13
GS3.1_25.04,9.4
GS3.1_8.05,13.6
GS3.1_176.01,12
GS3.1_185.05,11.2
GS3.1_185.03,10.6
GS3.1_128.02,13.6
GS3.1_8.04,13.7
GS3.1_67.03,12.1
GS3.1_8.03,12.1
GS3.1_67.04,11.8
GS3.1_25.06,8.6
GS3.1_176.03,11.7
GS3.1_185.02,9.6
GS3.1_115.05,12
