EntryID,Brix
17-182_4-2E4.02,10.5
17-182_4-2E1.02,11.3
17-181_3-1E5.02,8.4
17-185_2E2.01,9.9
17-185_2E5.01,7
17-182_4-2E6.01,11.1
17-182_3-1E4.03,11.1
17-180_1-1E8.01,9.7
17-180_1-1E4.03,7.6
17-182_3-1E4.02,11.7
17-182_4-2E2.01,10.6
17-185_2E2.02,10.4
17-185_2E4.02,7.7
17-182_3-1E2.02,10.8
17-182_3-1E4.01,11.8
17-184_4E1.02,11.6
17-182_1-2E6.01,11.7
17-180_2-2E7.01,10.6
17-180_3-2E7.02,9
17-182_4-2E5.01,10.4
17-180_3-2E6.01,9.8
17-180_2-2E6.03,8.8
17-180_2-2E5.02,11.4
17-180_2-2E2.02,9.9
17-182_4-2E7.03,13.1
17-180_2-2E7.02,10
17-182_1-2E1.01,13
17-180_2-2E1.03,10.4
17-182_1-2E5.01,9
17-180_3-2E2.03,8.5
17-184_4E3.01,10.3
17-180_2-2E2.01,10.9
17-184_4E5.02,7.7
17-181_3-1E3.01,9.6
17-180_1-1E8.02,9
17-180_2-2E2.03,10.3
17-182_1-2E4.02,11.5
17-184_4E5.01,6.7
17-182_1-2E3.01,10.4
17-180_2-2E3.01,10.3
17-184_4E2.02,10.4
17-180_2-2E6.02,8.6
17-182_1-2E3.03,11.2
17-182_1-2E5.03,10.7
17-18_3-2E3.01,7.7
17-180_1-1E7.03,10.5
17-184_3E2.01,8.7
17-182_4-2E3.02,11.5
17-180_1-1E7.02,10.5
17-185_2E4.01,11.6
17-184_3E4.02,11.7
17-184_4E4.01,8
17-184_4E2.01,9.6
17-182_3-1E2.01,10
17-180_1-1E7.01,9.2
17-180_1-2B.23,9.3
17-187_1-1B.19,11.1
17-184_1B.02,10.1
17-187_1-1B.07,11.3
17-187_1-1B.06,11.1
17-184_1B.01,10.1
17-180_1-2B.08,9.8
17-180_1-2B.12,11.4
17-184_1B.03,7.2
17-187_1-1B.10,9.8
17-180_1-2B.20,11.9
17-187_1-1B.01,10.3
17-187_1-1B.18,10.4
17-180_1-2B.09,11.6
17-187_1-1B.21,9.6
17-180_1-2B.06,12.4
17-180_1-2B.18,8.6
17-187_1-1B.11,12.1
17-184_1B.04,7.7
17-180_1-2B.03,9.9
17-180_1-2B.16,10.3
17-180_1-2B.25,11.5
17-180_1-2B.21,11.9
17-187_1-1B.20,13.2
17-187_1-1B.09,8
17-187_1-1B.12,13.8
17-187_1-1B.02,10.9
17-180_1-2B.10,11.6
17-187_1-1B.03,11.9
17-180_1-2B.07,10.9
17-184_1B.05,8.3
17-180_1-2B.01,11.1
17-187_1-1B.05,12.4
17-187_1-1B.16,12.6
17-187_1-1B.17,11.8
17-187_1-1B.24,12.3
17-180_1-2B.13,10.9
17-187_1-1B.23,13.7
17-180_1-2B.04,10
17-187_1-1B.15,11.6
17-180_1-2B.24,10.3
17-180_1-2B.05,9.7
17-180_1-2B.17,11.1
17-187_1-1B.04,11.2
17-187_1-1B.14,10.9
17-187_1-1B.13,10.1
17-180_1-2B.02,10.4
17-180_1-2B.22,12.1
17-180_1-2B.15,13.4
17-187_1-1B.08,13.5
17-180_1-2B.19,10.3
17-180_1-2B.11,10.8
17-180_1-2B.14,10.3
17-187_1-1B.22,12
17-181_1-1B.05,12.4
17-181_1-2B.22,12.9
17-187_1-2B.10,9.4
17-181_1-1B.17,11.4
17-181_1-1B.20,11.4
17-180_1-1B.16,12.2
