FruitID,Brix,Brix_date
GS1_160.2,10.5,1
GS1_112.03,10.3,1
GS1_30.01,11.4,1
GS1_180.1,10.3,1
GS1_184.04,10.6,1
GS1_155.06,12.2,1
GS1_126.02,10.8,1
GS1_84.06,12.3,1
GS1_30.03,9.4,1
GS1_80.01,11.9,1
GS1_105.05,13.6,1
GS1_29.01,11.8,1
GS1_77.04,12,1
GS1_30.05,10.3,1
GS1_125.03,11,1
GS1_29.06,10.6,1
GS1_184.02,12.5,1
GS1_24.03,9.8,1
GS1_105.04,13.3,1
GS1_90.03,11.9,1
GS1_155.03,13.4,1
GS1_154.03,9.1,1
GS1_160.3,9.5,1
GS1_30.04,11.4,1
GS1_125.06,11.3,1
GS1_160.4,11.8,1
GS1_77.05,12.3,1
GS1_125.02,11.1,1
GS1_125.01,10.5,1
GS1_30.06,11.1,1
GS1_184.05,12.5,1
GS1_112.02,10.6,1
GS1_160.6,10.8,1
GS1_126.03,12.7,1
GS1_51.01,11.5,1
GS1_135.04,11.9,1
GS1_77.02,12,1
GS1_112.05,10.8,1
GS1_173.03,12.2,2
GS1_117.03,10.2,2
GS1_208.03,10.1,2
GS1_178.06,10.6,2
GS1_208.02,10,2
GS1_177.02,11.6,2
GS1_173.01,14.3,2
GS1_173.02,11.6,2
GS1_131.02,11.1,2
GS1_177.06,14.2,2
GS1_131.05,12.7,2
GS1_194.04,11,2
GS1_179.03,13.1,2
GS1_208.01,8.9,2
GS1_178.03,11,2
GS1_194.06,10.9,2
GS1_102.01,12.8,2
GS1_176.01,11.8,2
GS1_178.05,12.4,2
GS1_131.04,11.5,2
GS1_176.03,9.6,2
GS1_186.01,10.6,2
GS1_113.02,9.6,2
GS1_173.05,12.3,2
GS1_194.02,11.7,2
GS1_173.04,12.7,2
GS1_178.02,10.7,2
GS1_194.05,10.6,2
GS1_176.02,9.9,2
GS1_131.03,8.2,2
GS1_131.01,12,2
GS1_107.05,11.2,2
GS1_186.02,13.6,2
GS1_177.04,12.1,2
GS1_194.03,11,2
GS1_131.06,9.5,2
GS1_194.01,10.9,2
GS1_173.06,11.3,2
GS1_177.01,11.5,2
GS1_178.04,6.2,2
GS1_113.04,12.7,2
GS1_208.06,11.2,2
GS1_178.01,12.6,2
GS1_208.05,11,2
GS1_208.04,10,2
GS1_177.03,11.1,2
GS1_102.05,12.3,2
GS1_177.05,11.4,2
GS1_186.05,11,2
GS1_176.05,13,2
GS1_107.06,10.3,2
GS1_107.04,10.8,2
GS1_117.01,10.1,2
GS1_102.04,13.3,2
GS1_113.05,11.7,2
GS1_107.03,9.9,2
GS1_179.01,12.3,2
GS1_176.04,10.4,2
GS1_176.06,12.1,2
GS1_107.02,10.4,2
GS1_102.06,13.2,2
GS1_179.05,13.3,2
GS1_179.06,13.8,2
GS1_113.06,8.9,2
GS1_102.03,12.1,2
GS1_186.04,10,2
GS1_113.03,10.8,2
GS1_117.04,10.9,2
GS1_186.03,10.7,2
GS1_107.01,12.6,2
GS1_117.06,10.8,2
GS1_179.04,14.2,2
GS1_186.06,12.1,2
GS1_113.01,13.2,2
GS1_179.02,14.5,2
GS1_117.05,10.9,2
GS1_117.02,11.1,2
GS1_102.02,11.8,2
GS1_115.02,9.1,3
GS1_49.03,11,3
GS1_146.05,11.1,3
GS1_47.01,11.5,3
GS1_152.03,10,3
GS1_146.02,10.9,3
GS1_115.03,11,3
GS1_12.02,11.8,3
GS1_70.03,10.1,3
GS1_175.03,10.7,3
GS1_12.03,6.1,3
GS1_12.05,8.8,3
GS1_12.01,12.8,3
GS1_175.02,10,3
GS1_138.06,11.5,3
GS1_70.01,11.2,3
GS1_152.02,9.3,3
GS1_47.04,11,3
GS1_70.04,9.9,3
GS1_165.01,13.9,3
GS1_138.04,11,3
GS1_170.06,11.1,3
GS1_147.05,11.6,3
GS1_115.01,11.2,3
GS1_170.04,11.9,3
GS1_5.02,13.3,3
GS1_58.03,14.2,3
GS1_165.06,14.2,3
GS1_175.06,10.7,3
GS1_21.01,12.2,3
GS1_122.04,14,3
GS1_21.02,11.4,3
GS1_170.01,11.6,3
GS1_86.02,11.6,3
GS1_58.04,13.1,3
GS1_138.01,10,3
GS1_92.02,13,3
GS1_5.05,11,3
GS1_122.01,10.1,3
GS1_21.05,11.4,3
GS1_21.04,9.9,3
GS1_122.03,14,3
GS1_152.01,12.5,3
GS1_21.06,11.8,3
GS1_92.06,11.8,3
GS1_175.01,11.4,3
GS1_165.05,10.8,3
GS1_21.03,11.3,3
GS1_86.01,11.7,3
GS1_47.05,11.7,3
GS1_165.04,10.8,3
GS1_175.04,11.2,3
GS1_165.02,13,3
GS1_122.06,12.4,3
GS1_152.05,12.9,3
GS1_170.03,10.9,3
GS1_47.03,9.6,3
GS1_192.03,11.2,3
GS1_10.04,10.7,3
GS1_70.06,10.3,3
GS1_92.05,13.8,3
GS1_183.06,10,3
GS1_10.01,12.3,3
GS1_147.06,11.3,3
GS1_122.02,12.1,3
GS1_47.06,11.9,3
GS1_10.02,9.4,3
GS1_170.05,11.7,3
GS1_192.06,11.4,3
GS1_12.06,10.3,3
GS1_192.04,9.7,3
GS1_192.02,10.5,3
GS1_10.05,11.5,3
GS1_183.05,8.3,3
GS1_10.03,11.3,3
GS1_5.03,10.2,3
GS1_12.04,8,3
GS1_49.05,12.1,3
GS1_185.03,10.5,3
GS1_165.03,11,3
GS1_70.05,11.8,3
GS1_185.01,10.9,3
GS1_185.02,9,3
GS1_175.05,10.8,3
GS1_138.05,11.7,3
GS1_147.04,11.5,3
GS1_183.02,9.6,3
GS1_58.06,12.4,3
