EntryID,Wet
18-3723_Rep1_3.3,33.1
18-3723_Rep1_5.3,31.84
18-3723_Rep1_5.4,33.21
18-3723_Rep1_4.1,28.79
18-3723_Rep1_3.1,32.76
18-3723_Rep1_4.6,35.1
18-3723_Rep1_5.5,30.74
18-3723_Rep1_4.2,34.64
18-3723_Rep1_6.1,31.71
18-3723_Rep1_4.5,30.88
18-3723_Rep1_5.1,27.5
18-3723_Rep1_5.2,34.15
18-3723_Rep1_3.2,30.31
18-3723_Rep1_6.4,34.52
18-3723_Rep1_4.3,29.67
18-3723_Rep1_4.4,31.97
18-3724_Rep3_13.2,35.58
18-3723_Rep1_9.3,30.67
18-3724_Rep3_13.1,32.4
18-3724_Rep3_14.5,32.72
18-3723_Rep1_6.5,33.21
18-3724_Rep3_13.5,28.99
18-3724_Rep3_13.6,33.14
18-3724_Rep3_14.3,32.77
18-3724_Rep3_13.3,28.39
18-3724_Rep3_12.6,33.81
18-3724_Rep3_14.4,31.13
18-3723_Rep1_9.2,36.62
18-3724_Rep3_12.1,44.4
18-3724_Rep3_14.1,31.43
18-3724_Rep3_13.4,32.89
18-3724_Rep3_12.5,27.34
18-3723_Rep1_9.1,34.41
18-3724_Rep3_12.4,28.75
18-3724_Rep3_12.2,34.19
18-3724_Rep3_15.5,34.88
18-3724_Rep3_14.2,31.67
18-3725_Rep1_1.4,30.26
18-3723_Rep1_7.4,32.97
18-3725_Rep1_2.1,30.88
18-3724_Rep3_15.1,34.79
18-3725_Rep1_2.2,28.22
18-3725_Rep1_6.6,30.67
18-3725_Rep1_1.1,31.03
18-3725_Rep1_8.1,27.46
18-3724_Rep3_14.6,31.7
18-3725_Rep1_1.5,33.67
18-3724_Rep3_15.4,28.69
18-3725_Rep1_6.3,27.65
18-3725_Rep1_1.2,29.47
18-3724_Rep3_15.3,31.18
18-3723_Rep1_7.5,30.77
18-3725_Rep1_6.4,28.25
18-3725_Rep1_6.5,33.69
18-3725_Rep1_1.3,32.03
18-3724_Rep3_15.2,29.58
18-3725_Rep1_6.1,32.08
18-3725_Rep1_6.2,30.5
18-3725_Rep1_4.5,29.99
18-3724_Rep2_8.1,29.23
18-3725_Rep1_7.3,33.02
18-3725_Rep1_3.4,32.41
18-3725_Rep1_7.2,30.89
18-3725_Rep1_8.3,30.18
18-3725_Rep1_8.5,28.95
18-3725_Rep1_3.6,29.32
18-3725_Rep1_4.4,28.87
18-3725_Rep1_8.4,28.54
18-3725_Rep1_3.3,27.91
18-3725_Rep1_3.5,28.9
18-3725_Rep1_7.1,30.96
18-3725_Rep1_4.6,30.6
18-3725_Rep1_4.1,27.85
18-3725_Rep1_4.2,30.02
18-3725_Rep1_4.3,30.17
18-3725_Rep1_7.4,29.93
18-3725_Rep1_3.2,31.4
18-3724_Rep2_11.1,27.12
18-3724_Rep2_11.3,31.83
18-3724_Rep2_11.5,28.66
18-3724_Rep2_9.4,30.54
18-3724_Rep2_9.2,32.87
18-3724_Rep2_9.1,30.25
18-3724_Rep2_7.2,30.54
18-3724_Rep2_9.3,29.53
18-3724_Rep2_7.1,31.15
18-3724_Rep2_7.3,28.67
18-3724_Rep2_11.2,27.99
18-3724_Rep2_7.4,29.52
18-3724_Rep2_9.6,27.44
18-3724_Rep2_10.2,32.6
18-3724_Rep2_9.5,29.69
18-3724_Rep2_8.2,27.67
18-3724_Rep2_8.4,33.31
18-3724_Rep2_8.3,29.48
18-3724_Rep2_11.4,28.11
18-3724_Rep2_10.1,32.25
18-3724_Rep2_10.5,33.64
18-3724_Rep2_10.4,33.32
18-3724_Rep2_10.3,28.8
18-3724_Rep2_10.6,31.35
18-3728_Rep2_5.1,29.7
18-3728_Rep2_5.3,30.79
18-3728_Rep2_5.2,26.29
18-3728_Rep2_2.1,31.78
18-3728_Rep2_2.2,32.58
18-3728_Rep2_3.3,32.03
18-3728_Rep2_4.2,26.86
18-3728_Rep2_2.3,29.97
18-3728_Rep2_1.2,31.58
18-3728_Rep2_2.4,28.59
18-3728_Rep2_4.4,33.16
18-3728_Rep2_4.1,31.09
18-3728_Rep2_3.1,27.76
18-3728_Rep2_3.5,28.45
18-3728_Rep2_4.3,30.62
18-3728_Rep2_2.5,31.96
18-3728_Rep2_3.4,30.66
18-3728_Rep2_3.2,32.61
18-3728_Rep2_1.1,29.06
18-3726_Rep2_2.2,29.3
18-3726_Rep2_1.2,18.44
18-3726_Rep2_2.1,22.95
18-3726_Rep2_4.2,33.34
18-3726_Rep2_4.1,30
18-3726_Rep2_3.5,36.38
18-3726_Rep2_1.1,30.36
18-3726_Rep2_3.6,26.79
18-3726_Rep2_5.1,30.69
18-3726_Rep2_5.2,25.29
18-3726_Rep2_3.1,34.38
18-3726_Rep2_3.4,30.23
18-3726_Rep2_3.3,32.94
18-3726_Rep2_3.2,32.01
18-3726_Rep2_4.4,26.54
18-3727_Rep1_4.2,26.67
18-3727_Rep1_5.1,27.96
18-3727_Rep1_5.4,25.19
18-3727_Rep1_4.1,27.8
18-3727_Rep1_3.3,32.17
18-3727_Rep1_1.1,34.62
18-3727_Rep1_3.1,32
18-3726_Rep2_1.4,15.75
18-3727_Rep1_5.2,30.48
18-3727_Rep1_3.4,32.56
18-3727_Rep1_3.6,29.67
18-3727_Rep1_2,29.99
18-3726_Rep2_4.3,31.1
18-3726_Rep2_1.3,25.91
18-3726_Rep2_2.4,27.25
18-3727_Rep1_3.2,32.74
18-3727_Rep1_5.3,23.94
18-3727_Rep1_3.5,29.58
18-3726_Rep2_2.3,36.07
18-3727_Rep1_1.2,31.08
18-3723_Rep3_7.6,30.12
18-3723_Rep3_6.5,35.95
18-3723_Rep3_6.6,32.18
18-3723_Rep3_7.4,26.62
18-3723_Rep3_7.3,32.89
18-3723_Rep3_7.1,28.51
18-3723_Rep3_7.5,27.6
18-3727_Rep1_1.3,34.54
18-3723_Rep3_7.2,27.24
18-3727_Rep1_1.4,31.04
18-3723_Rep3_1,26.96
18-3723_Rep3_4.1,26.55
18-3724_Rep1_10.2,28.74
18-3723_Rep3_4.4,26.16
18-3723_Rep3_4.5,27.02
18-3724_Rep1_5.5,33.64
18-3724_Rep1_10.1,31.59
18-3724_Rep1_10.4,32.88
18-3724_Rep1_10.3,29.36
18-3724_Rep1_5.2,33
18-3723_Rep3_4.2,34.12
18-3724_Rep1_5.1,32.25
18-3724_Rep1_7.3,32.95
18-3724_Rep1_10.5,22.82
18-3723_Rep3_4.3,30.6
18-3724_Rep1_7.1,29.19
18-3724_Rep1_5.4,28.28
18-3724_Rep1_5.6,22.66
18-3724_Rep1_3,33.11
18-3724_Rep1_7.4,33.41
18-3728_Rep3_5.1,28.11
18-3728_Rep3_5.2,26.18
18-3724_Rep1_7.2,28.83
18-3724_Rep1_7.6,32.27
18-3724_Rep1_7.5,28.99
18-3728_Rep3_5.3,34.84
18-3728_Rep3_5.5,29.3
18-3724_Rep1_5.3,26.37
18-3728_Rep3_5.4,33.95
18-3728_Rep3_5.6,32.18
18-3723_Rep3_14.2,31.84
18-3723_Rep2_15.3,30.35
18-3723_Rep3_14.1,34.64
18-3723_Rep2_15.6,35.62
18-3723_Rep3_14.5,32.14
18-3723_Rep2_18.1,32.71
18-3723_Rep2_18.6,25.89
18-3723_Rep2_18.2,29.65
18-3723_Rep2_18.4,30.14
18-3725_Rep2_3.1,30.64
