FruitID,Dry
GS3_169.5,1.44
GS3_169.9,1.5
GS3_169.10,1.31
GS3_77.2,1.38
GS3_79.4,2.01
GS3_40.5,1.62
GS3_169.7,1.76
GS3_77.8,1.56
GS3_169.2,1.45
GS3_169.3,1.57
GS3_79.6,2.08
GS3_169.6,1.55
GS3_91.6,1.35
GS3_91.3,1.76
GS3_91.5,1.58
GS3_91.4,1.6
GS3_91.10,1.7
GS3_91.7,1.76
GS3_155.2,1.51
GS3_176.8,1.52
GS3_176.9,1.44
GS3_91.8,1.48
GS3_176.10,1.36
GS3_81.7,1.73
GS3_91.1,1.74
GS3_81.10,1.75
GS3_176.6,1.21
GS3_168.5,1.73
GS3_176.3,1.58
GS3_13.10,1.79
GS3_176.1,1.39
GS3_168.7,3.08
GS3_176.7,1.72
GS3_155.5,1.95
GS3_155.7,2.07
GS3_155.6,1.89
GS3_91.2,1.77
GS3_155.9,1.84
GS3_91.9,1.34
GS3_155.10,1.79
GS3_169.4,1.75
GS3_77.3,1.55
GS3_77.10,2.09
GS3_77.5,1.69
GS3_155.4,2.08
GS3_155.1,2.32
GS3_155.8,2.05
GS3_155.3,1.71
GS3_34.2,1.43
GS3_34.6,1.47
GS3_34.1,1.56
GS3_34.3,1.72
GS3_13.8,1.58
GS3_34.7,1.45
GS3_17.2,1.63
GS3_16.1,1.48
GS3_13.3,1.55
GS3_17.5,1.36
GS3_17.6,1.39
GS3_13.1,1.71
GS3_13.5,1.37
GS3_13.2,1.78
GS3_13.7,1.78
GS3_13.9,1.54
GS3_13.6,1.84
GS3_13.4,1.92
GS3_16.4,1.42
GS3_17.4,1.67
GS3_81.1,1.71
GS3_81.9,1.91
GS3_168.4,1.47
GS3_168.6,1.94
GS3_168.8,1.73
GS3_168.9,1.99
GS3_168.1,1.83
GS3_168.2,1.63
GS3_168.3,1.58
GS3_81.3,1.7
GS3_34.4,1.7
GS3_81.8,1.82
GS3_34.9,1.5
GS3_81.2,1.61
GS3_17.8,1.36
GS3_34.5,1.35
GS3_34.10,1.67
GS3_81.4,1.75
GS3_17.3,1.28
GS3_34.8,1.83
GS3_40.4,1.78
GS3_175.1,1.75
GS3_175.6,2.38
GS3_175.3,1.8
GS3_79.2,1.87
GS3_175.5,2.18
GS3_175.2,1.44
GS3_79.7,1.82
GS3_175.10,1.61
GS3_79.5,2.29
GS3_175.4,1.6
GS3_40.10,1.77
GS3_175.7,1.42
GS3_40.8,1.87
GS3_79.1,1.86
GS3_175.8,1.37
GS3_40.7,1.56
GS3_175.9,1.52
GS3_40.9,1.91
GS3_40.6,1.51
GS3_37.1,1.55
GS3_16.10,1.66
GS3_16.2,1.38
GS3_16.9,1.76
GS3_16.3,1.63
GS3_16.7,1.54
GS3_16.5,1.7
GS3_17.1,1.52
GS3_37.8,2.01
GS3_37.9,2.48
GS3_37.2,2.09
GS3_16.8,1.62
GS3_37.3,2.3
GS3_148.3,1.39
GS3_148.10,2.26
GS3_83.8,1.7
GS3_62.3,1.69
GS3_62.6,1.79
GS3_62.8,1.97
GS3_62.9,1.82
GS3_62.4,1.54
GS3_62.5,1.42
GS3_84.5,1.49
GS3_62.10,1.55
GS3_62.7,1.82
GS3_84.10,1.69
GS3_62.2,1.65
GS3_84.8,1.45
GS3_84.6,1.35
GS3_84.1,1.38
GS3_148.1,1.54
GS3_84.3,1.58
GS3_84.9,1.38
GS3_84.2,1.47
GS3_62.1,1.84
GS3_83.9,1.56
GS3_83.4,1.38
GS3_148.2,1.8
GS3_83.7,1.62
GS3_148.8,1.48
GS3_148.9,1.59
GS3_84.7,1.39
GS3_164.2,1.4
GS3_83.10,1.27
GS3_84.4,1.58
GS3_148.5,1.4
GS3_72.1,1.63
GS3_148.7,1.5
GS3_164.6,1.57
GS3_83.1,1.56
GS3_164.9,1.34
GS3_148.4,1.42
GS3_83.6,1.37
GS3_72.2,1.33
GS3_148.6,1.24
GS3_164.4,1.54
GS3_164.8,1.32
GS3_83.5,1.3
GS3_83.3,1.47
GS3_67.9,1.88
GS3_164.1,1.33
GS3_83.2,1.32
GS3_82.4,1.64
GS3_77.4,1.69
GS3_176.2,1.58
GS3_82.8,1.91
GS3_173.5,2.29
GS3_164.7,1.32
GS3_173.7,1.51
GS3_67.5,1.53
GS3_164.3,1.41
GS3_67.6,1.83
GS3_164.5,1.37
GS3_164.10,1.2
GS3_82.2,1.8
GS3_77.6,1.63
GS3_209.2,2.01
GS3_77.7,1.42
GS3_77.9,1.45
GS3_82.7,1.43
GS3_209.5,2.43
GS3_82.5,1.54
GS3_82.9,1.81
GS3_173.1,1.88
GS3_77.1,1.59
GS3_173.4,2.15
GS3_82.3,1.49
GS3_40.3,1.84
GS3_81.6,1.98
GS3_173.6,1.63
GS3_67.4,1.61
GS3_67.1,1.63
GS3_82.6,1.82
GS3_176.5,1.33
GS3_209.4,1.7
GS3_40.2,1.48
GS3_176.4,1.72
GS3_209.1,1.73
GS3_173.2,1.73
GS3_173.3,1.44
GS3_82.1,1.69
GS3_81.5,1.48
GS3_67.8,1.85
GS3_67.2,1.7
GS3_67.10,1.69
GS3_67.3,1.45
GS3_209.3,2.11
GS3_67.7,1.98
GS3_4.8,1.62
GS3_161.4,2.04
GS3_4.6,1.37
GS3_143.4,1.33
GS3_101.2,1.77
GS3_143.6,1.34
GS3_143.2,1.34
GS3_109.3,1.84
GS3_233.1,1.63
GS3_4.7,1.17
GS3_4.4,1.58
